"basin","comid","tocomid","stream_order","path_number"
"willamette",23787133,23785789,1,1
"willamette",23780973,23780971,3,3
"willamette",23772767,23772765,5,5
"willamette",23773193,23773191,2,2
"willamette",23800934,23800932,3,3
"willamette",23804940,23804932,5,5
"willamette",23815156,23815160,1,1
"willamette",23800778,23800776,2,2
"willamette",23804964,23804962,3,3
"willamette",23800876,23800874,4,4
"willamette",23796683,23796681,5,5
"willamette",23791017,23791015,7,6
"willamette",23810258,23810252,1,1
"willamette",23796941,23796939,2,2
"willamette",23785849,23785847,3,3
"willamette",23809174,23809172,5,5
"willamette",23815058,23815056,7,6
"willamette",23809988,23809968,1,1
"willamette",23773585,23773583,3,3
"willamette",23796735,23796733,4,4
"willamette",23786967,23785931,1,1
"willamette",23781681,23781683,2,2
"willamette",23791095,23791097,4,4
"willamette",23785773,23785771,5,5
"willamette",23763005,23763003,1,1
"willamette",23765107,23763493,2,2
"willamette",23786335,23786333,3,3
"willamette",23762743,23762741,4,4
"willamette",23751928,23751926,5,5
"willamette",23763907,23762755,2,2
"willamette",23752666,23752664,3,3
"willamette",23809446,23809444,4,4
"willamette",23809112,23809110,5,5
"willamette",23791017,23791015,7,6
"willamette",23810164,23809332,1,1
"willamette",23753016,23752626,2,2
"willamette",23785815,23785813,3,3
"willamette",23796583,23796499,4,4
"willamette",23800670,23800668,5,5
"willamette",23801724,23801686,1,1
"willamette",23762931,23762929,2,2
"willamette",23809308,23809306,3,3
"willamette",947090097,23773327,4,4
"willamette",23751872,23751870,5,5
"willamette",23815058,23815056,7,6
"willamette",23791699,23791675,1,1
"willamette",23815486,23815614,2,2
"willamette",23800950,23800948,3,3
"willamette",23781805,23781777,1,1
"willamette",23781597,23780611,2,2
"willamette",947090056,23759252,3,3
"willamette",23786195,23786193,4,4
"willamette",23804940,23804932,5,5
"willamette",23805600,23805082,1,1
"willamette",23804892,23804890,4,4
"willamette",23751928,23751926,5,5
"willamette",23815058,23815056,7,6
"willamette",23774357,23774319,1,1
"willamette",23791251,23791249,3,3
"willamette",23751900,23751898,5,5
"willamette",23753830,23752054,1,1
"willamette",23773415,23773413,2,2
"willamette",23805142,23805090,4,4
"willamette",23800612,23800610,5,5
"willamette",23797041,23797045,1,1
"willamette",23781791,23780637,2,2
"willamette",23785845,23785843,4,4
"willamette",23759908,23759932,2,2
"willamette",23752492,23752490,3,3
"willamette",23800946,23800944,4,4
"willamette",23762667,23762665,5,5
"willamette",23791017,23791015,7,6
"willamette",23781323,23780771,1,1
"willamette",23796645,23796643,3,3
"willamette",23809434,23809432,4,4
"willamette",23773047,23773039,3,3
"willamette",23772997,23772999,5,5
"willamette",23805662,23805664,1,1
"willamette",23786143,23786141,3,3
"willamette",23780621,23780619,4,4
"willamette",23751928,23751926,5,5
"willamette",23814998,23814996,3,3
"willamette",23773037,23773035,4,4
"willamette",23800608,23800606,5,5
"willamette",23764459,23764429,1,1
"willamette",23809666,23809218,2,2
"willamette",23804940,23804932,5,5
"willamette",23764937,23764913,1,1
"willamette",23752486,23752484,3,3
"willamette",23796683,23796681,5,5
"willamette",23791017,23791015,7,6
"willamette",23781015,23781017,1,1
"willamette",947090079,23791423,2,2
"willamette",23785977,23785975,3,3
"willamette",23775149,23775147,5,5
"willamette",23760240,23759364,1,1
"willamette",23797087,23797089,2,2
"willamette",23751808,23751806,3,3
"willamette",23800566,23800564,5,5
"willamette",23791083,23791085,7,6
"willamette",23764049,23762687,1,1
"willamette",23801410,23801398,2,2
"willamette",23780527,23780525,5,5
"willamette",137182882,23792573,7,6
"willamette",23752200,23752198,2,2
"willamette",23805028,23805026,3,3
"willamette",23762667,23762665,5,5
"willamette",23787087,23787099,1,1
"willamette",23804952,23804950,3,3
"willamette",23805090,23805092,4,4
"willamette",23751928,23751926,5,5
"willamette",23815058,23815056,7,6
"willamette",23760070,23759582,1,1
"willamette",23752368,23752366,4,4
"willamette",23764321,23763779,1,1
"willamette",23785807,23785805,4,4
"willamette",23804940,23804932,5,5
"willamette",23815058,23815056,7,6
"willamette",23791895,23791889,1,1
"willamette",23791179,23791177,3,3
"willamette",23804842,23804840,5,5
"willamette",23781625,23780615,1,1
"willamette",23800736,23800734,2,2
"willamette",23780751,23780731,3,3
"willamette",23796739,23796737,4,4
"willamette",23751778,23751776,5,5
"willamette",23763747,23763745,1,1
"willamette",23801066,23801064,2,2
"willamette",23773741,23773747,1,1
"willamette",23752332,23752300,2,2
"willamette",23781809,23780693,3,3
"willamette",23762783,23762781,4,4
"willamette",23759458,23759456,5,5
"willamette",23815058,23815056,7,6
"willamette",23791497,23791495,1,1
"willamette",23801666,23801646,2,2
"willamette",23765643,23765065,3,3
"willamette",23791105,23791103,4,4
"willamette",23762653,23762651,5,5
"willamette",23764151,23764155,1,1
"willamette",23800676,23800674,3,3
"willamette",23752650,23752648,4,4
"willamette",23815058,23815056,7,6
"willamette",23810502,23809980,2,2
"willamette",23752668,23752666,3,3
"willamette",23762783,23762781,4,4
"willamette",23809168,23809166,5,5
"willamette",23753606,23752228,1,1
"willamette",23792217,23791121,2,2
"willamette",23780637,23780635,3,3
"willamette",23809112,23809110,5,5
"willamette",23815058,23815056,7,6
"willamette",23801672,23800922,1,1
"willamette",23780729,23780727,4,4
"willamette",23800826,23800824,5,5
"willamette",23765603,23765325,1,1
"willamette",23773731,23774877,2,2
"willamette",23763661,23763659,3,3
"willamette",23796719,23796717,4,4
"willamette",23772997,23772999,5,5
"willamette",23791309,23791311,7,6
"willamette",23801148,23801140,1,1
"willamette",23804836,23804834,5,5
"willamette",23764973,23764977,1,1
"willamette",23809446,23809444,4,4
"willamette",23796635,23796633,5,5
"willamette",23797519,23796909,1,1
"willamette",23796585,23796583,3,3
"willamette",23780673,23780671,4,4
"willamette",23796633,947090082,5,5
"willamette",23765129,23765091,1,1
"willamette",23796621,23796619,2,2
"willamette",23786287,23786285,3,3
"willamette",23773247,23773245,4,4
"willamette",23780577,23780575,5,5
"willamette",23809760,23809558,1,1
"willamette",23786841,23786845,2,2
"willamette",23781501,23781453,1,1
"willamette",23801050,23800868,2,2
"willamette",23786251,23786249,4,4
"willamette",23785773,23785771,5,5
"willamette",23815058,23815056,7,6
"willamette",23797623,23796817,1,1
"willamette",23800826,23800824,5,5
"willamette",23815058,23815056,7,6
"willamette",23763905,23763903,1,1
"willamette",23764685,23764653,2,2
"willamette",23785809,23785807,3,3
"willamette",23785773,23785771,5,5
"willamette",23772997,23772999,5,5
"willamette",23773781,23773785,1,1
"willamette",23786077,23786075,3,3
"willamette",23804932,23804934,5,5
"willamette",23791305,23791303,7,6
"willamette",23815600,23815390,1,1
"willamette",23809980,23809970,3,3
"willamette",23780577,23780575,5,5
"willamette",23792553,23792551,1,1
"willamette",23753500,23752276,2,2
"willamette",23763749,23763751,4,4
"willamette",23815058,23815056,7,6
"willamette",23763987,23764005,1,1
"willamette",23773731,23774877,2,2
"willamette",23805014,23805012,3,3
"willamette",23762683,23762681,4,4
"willamette",137182882,23792573,7,6
"willamette",23815256,23814994,1,1
"willamette",23752684,23752682,2,2
"willamette",23752666,23752664,3,3
"willamette",23796807,23796633,4,4
"willamette",23791017,23791015,7,6
"willamette",23797423,23797425,1,1
"willamette",23781611,23780553,2,2
"willamette",23759610,23759608,2,2
"willamette",23814928,23814926,3,3
"willamette",23751928,23751926,5,5
"willamette",137182882,23792573,7,6
"willamette",23763671,23763669,2,2
"willamette",23805098,23805040,4,4
"willamette",23814914,23814912,5,5
"willamette",23815058,23815056,7,6
"willamette",23791839,23791795,1,1
"willamette",23804946,23804944,4,4
"willamette",23796683,23796681,5,5
"willamette",23753314,23753914,1,1
"willamette",23763945,23763231,2,2
"willamette",23786251,23786249,4,4
